index,expected_intent,text,conversation_id,guest_id,ok,actual_lex_intent,resolved_intent,resolution_source,search_status,current_product_name,current_order_code,duration_ms,message_preview,error
1,ProductSearchIntent,kiếm iphone 16 pro max,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductSearchIntent,product_search,local_nlu,product_not_found,,,1595.12,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
2,ProductSearchIntent,có samsung dòng s không,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductSearchIntent,product_search,local_nlu,success,,,703.3,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - Samsung Galaxy S26 Plus: 25.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Ultra: 32.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Gala,
3,ProductSearchIntent,tìm điện thoại dưới 15 triệu,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductSearchIntent,product_search,local_nlu,success,,,633.49,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 14: 12.990.000 VNĐ - Ưu đãi: Chưa có,
4,ProductSearchIntent,cho xem máy oppo mới nhất,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductSearchIntent,product_search,local_nlu,success,OPPO Find X8 Pro,,378.35,"Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - OPPO Find X8 Pro: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi {""richContent"": [[{""type"": ""image"", ""rawUrl"": ""https://www.oppo.com/content/dam/oppo/common/mkt/v2-2/find-",
5,ProductSearchIntent,shop bán xiaomi nào ngon,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductSearchIntent,product_search,local_nlu,success,,,581.0,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25.990.000 VNĐ -,
6,ProductSearchIntent,còn điện thoại nào tầm 10 củ không,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductSearchIntent,product_search,local_nlu,success,,,565.52,"Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi {""richContent"": [[{""type"": ""image"", ""rawUrl"":",
7,ProductPriceIntent,iphone 16 giá nhiêu,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductPriceIntent,product_price,local_nlu,success,iPhone 16,,716.26,"### iPhone 16  ![iPhone 16](https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-16-1.jpg)  **Giá từ:** 19.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 128GB / Black, 128GB / Ultramarine, 128GB / White, 256GB / Blac",
8,ProductPriceIntent,giá con samsung s25 ultra,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductPriceIntent,product_price,local_nlu,success,Samsung Galaxy S26 Ultra,,605.13,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
9,ProductPriceIntent,bản 512gb của iphone 16 pro max bao nhiêu,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductPriceIntent,product_price,local_nlu,product_not_found,Samsung Galaxy S26 Ultra,,857.05,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
10,ProductPriceIntent,máy này giá sao,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductPriceIntent,product_price,local_nlu,success,Samsung Galaxy S26 Ultra,,545.52,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
11,ProductPriceIntent,báo giá giúp mình,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductPriceIntent,product_price,local_nlu,success,Samsung Galaxy S26 Ultra,,597.64,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
12,ProductAvailabilityIntent,còn hàng iphone 16 không,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductAvailabilityIntent,product_availability,local_nlu,success,iPhone 16,,457.6,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
13,ProductAvailabilityIntent,còn màu đen không,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductAvailabilityIntent,product_availability,local_nlu,success,iPhone 16,,356.54,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
14,ProductAvailabilityIntent,máy này hết hàng chưa,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductAvailabilityIntent,product_availability,local_nlu,success,iPhone 16,,297.04,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
15,ProductAvailabilityIntent,còn bản 256gb không,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductAvailabilityIntent,product_availability,local_nlu,product_not_found,iPhone 16,,453.19,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
16,ProductAvailabilityIntent,có sẵn tại shop không,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductAvailabilityIntent,product_availability,local_nlu,product_not_found,,,302.09,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
17,ProductRecommendationIntent,tư vấn cho mình điện thoại chơi game,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,389.46,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 16: 19.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 17: 22.990.000 VNĐ - ",
18,ProductRecommendationIntent,mua máy dưới 12 triệu nên chọn gì,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,390.21,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 13: 10.490.000 VNĐ - Ư",
19,ProductRecommendationIntent,cần điện thoại pin khỏe,conv_lex_smoke_20260614T014727Z,guest_lex_smoke_20260614T014727Z,True,ProductRecommendationIntent,product_recommendation,local_nlu,recommendation_success,,,512.83,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
