index,expected_intent,text,conversation_id,guest_id,ok,actual_lex_intent,resolved_intent,resolution_source,search_status,current_product_name,current_order_code,duration_ms,message_preview,error
1,ProductSearchIntent,kiếm iphone 16 pro max,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductSpecIntent,product_spec,lex,product_not_found,,,939.86,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
2,ProductSearchIntent,có samsung dòng s không,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductSearchIntent,product_search,lex,success,,,571.85,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - Samsung Galaxy S26 Plus: 25.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Ultra: 32.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Gala,
3,ProductSearchIntent,tìm điện thoại dưới 15 triệu,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductSearchIntent,product_search,lex,success,,,531.96,Sản phẩm phù hợp  Mình tìm thấy một số sản phẩm phù hợp: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 14: 12.990.000 VNĐ - Ưu đãi: Chưa có,
4,ProductSearchIntent,cho xem máy oppo mới nhất,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductRecommendationIntent,product_recommendation,lex,recommendation_success,OPPO Find X8 Pro,,451.52,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - OPPO Find X8 Pro: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi {""richContent"": [[{""type"": ""image"", ""rawUrl"": ""https://www.oppo.com/content/dam/oppo/common/",
5,ProductSearchIntent,shop bán xiaomi nào ngon,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ComplaintIntent,complaint,lex,aftercare_handoff,,,477.27,Mình sẽ chuyển nhân viên để ghi nhận khiếu nại. Các yêu cầu này cần xác minh đơn hàng/tài khoản nên bot chưa tự xử lý trực tiếp. Bạn nhập /h hoặc để lại số điện thoại để shop liên hệ.,
6,ProductSearchIntent,còn điện thoại nào tầm 10 củ không,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductAvailabilityIntent,fallback,lex,fallback,,,440.46,"Mình chưa hiểu rõ yêu cầu của bạn. Bạn có thể hỏi về sản phẩm, giá, ưu đãi, giao hàng hoặc đơn hàng để mình hỗ trợ nhé. Nếu cần gặp người thật, bạn nhập /h.",
7,ProductPriceIntent,iphone 16 giá nhiêu,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductPriceIntent,product_price,lex,success,iPhone 16,,434.2,"### iPhone 16  ![iPhone 16](https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-16-1.jpg)  **Giá từ:** 19.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 128GB / Black, 128GB / Ultramarine, 128GB / White, 256GB / Blac",
8,ProductPriceIntent,giá con samsung s25 ultra,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductAvailabilityIntent,product_availability,lex,success,Samsung Galaxy S26 Ultra,,562.76,"Samsung Galaxy S26 Ultra hiện đang có hàng trên hệ thống với 9 phiên bản (256GB / Titanium Black, 256GB / Titanium Silver, 256GB / Titanium Blue, 512GB / Titanium Black, 512GB / Titanium Silver, 512GB / Titanium Blue và 3 phiên bản khác). B",
9,ProductPriceIntent,bản 512gb của iphone 16 pro max bao nhiêu,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductPriceIntent,product_price,lex,product_not_found,Samsung Galaxy S26 Ultra,,573.43,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
10,ProductPriceIntent,máy này giá sao,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductPriceIntent,product_price,lex,success,Samsung Galaxy S26 Ultra,,337.0,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
11,ProductPriceIntent,báo giá giúp mình,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductPriceIntent,product_price,lex,success,Samsung Galaxy S26 Ultra,,442.83,"### Samsung Galaxy S26 Ultra  ![Samsung Galaxy S26 Ultra](https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s26-ultra-1.jpg)  **Giá từ:** 32.990.000 VNĐ **Khuyến mãi:** Chưa có chương trình khuyến mãi **Size:** 1TB / Titanium Black, ",
12,ProductAvailabilityIntent,còn hàng iphone 16 không,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductAvailabilityIntent,inventory,local_nlu,success,iPhone 16,,410.54,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
13,ProductAvailabilityIntent,còn màu đen không,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductAvailabilityIntent,product_availability,lex,success,iPhone 16,,358.11,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
14,ProductAvailabilityIntent,máy này hết hàng chưa,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductRecommendationIntent,inventory,local_nlu,success,iPhone 16,,376.51,"iPhone 16 hiện đang có hàng trên hệ thống với 6 phiên bản (128GB / Black, 128GB / White, 128GB / Ultramarine, 256GB / Black, 256GB / White, 256GB / Ultramarine). Bạn có thể vào trang sản phẩm để chọn màu và dung lượng cụ thể.",
15,ProductAvailabilityIntent,còn bản 256gb không,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductAvailabilityIntent,fallback,lex,fallback,iPhone 16,,374.6,"Mình chưa hiểu rõ yêu cầu của bạn. Bạn có thể hỏi về sản phẩm, giá, ưu đãi, giao hàng hoặc đơn hàng để mình hỗ trợ nhé. Nếu cần gặp người thật, bạn nhập /h.",
16,ProductAvailabilityIntent,có sẵn tại shop không,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductAvailabilityIntent,inventory,local_nlu,product_not_found,,,292.22,Mình chưa tìm thấy sản phẩm phù hợp. Bạn có thể nhập tên sản phẩm cụ thể hơn không?,
17,ProductRecommendationIntent,tư vấn cho mình điện thoại chơi game,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductRecommendationIntent,product_recommendation,lex,recommendation_success,,,652.94,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 16: 19.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 17: 22.990.000 VNĐ - ",
18,ProductRecommendationIntent,mua máy dưới 12 triệu nên chọn gì,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,True,ProductRecommendationIntent,product_recommendation,lex,recommendation_success,,,470.71,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 11: 6.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 12: 8.490.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 13: 10.490.000 VNĐ - Ư",
19,ProductRecommendationIntent,cần điện thoại pin khỏe,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductBatteryIntent,product_battery,lex,product_battery,,,469.77,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 15: 15.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - Samsung Galaxy S26 Plus: 25",
20,ProductRecommendationIntent,gợi ý điện thoại chụp ảnh đẹp,conv_lex_smoke_20260614T013900Z,guest_lex_smoke_20260614T013900Z,False,ProductCameraIntent,product_recommendation,local_nlu,recommendation_success,,,472.02,"Gợi ý sản phẩm  Dựa trên nhu cầu của bạn, mình gợi ý các sản phẩm này: - iPhone 16: 19.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 17: 22.990.000 VNĐ - Ưu đãi: Chưa có chương trình khuyến mãi - iPhone 11: 6.990.000 VNĐ - ",
